imdb_id,popularity,budget,original_title,cast,homepage,director,overview,genres,revenue_adj,certificate,runtime,rating,votes
tt0146675,1.17388799999999,100000000,End of Days,"Arnold Schwarzenegger,Gabriel Byrne,Kevin Pollak,Robin Tunney,CCH Pounder",http://www.end-of-days.com/,Peter Hyams,"On December 28th, 1999, the citizens of New York City are getting ready for the turn of the millennium. However, the Devil decides to crash the party by coming to the city, inhabiting a man's body, and searching for his chosen bride, a 20-year-old woman named Christine York. The world will end, and the only hope lies within an atheist called Jericho Cane.","Action,Fantasy,Horror,Mystery",277504860.19,R,122 min,5.8,112307.0
tt0144117,0.992316,6000000,The Boondock Saints,"Willem Dafoe,Norman Reedus,Sean Patrick Flanery,David Della Rocco,David Ferry",http://www.theboondocksaints.com,Troy Duffy,"With a God-inspired moral obligation to act against evil, twin brothers Conner and Murphy set out to rid Boston of criminals. However, rather than working within the system, these Irish Americans decide to take swift retribution into their own hands.","Action,Thriller,Crime",39888.15,R,108 min,7.7,241527.0
tt0120737,8.575419,93000000,The Lord of the Rings: The Fellowship of the Ring,"Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler,Orlando Bloom",http://www.lordoftherings.net/,Peter Jackson,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","Adventure,Fantasy,Action",1073079785.53,PG-13,178 min,8.8,1889727.0
tt0230011,2.217239,120000000,Atlantis: The Lost Empire,"Michael J. Fox,Corey Burton,Claudia Christian,James Garner,John Mahoney",http://www.disney.com/atlantis,Gary Trousdale|Kirk Wise,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.","Animation,Family,Adventure,Science Fiction",229122951.40,PG,95 min,6.9,123509.0
tt0239395,1.134012,60000000,Cats & Dogs,"Jeff Goldblum,Elizabeth Perkins,Alexander Pollock,Miriam Margolyes,Tobey Maguire",http://catsanddogsmovie.warnerbros.com/cmp/main.html,Lawrence Guterman,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.","Comedy,Family",114990388.85,PG,87 min,5.1,60541.0
tt0218817,0.976997,30000000,AntiTrust,"Ryan Phillippe,Rachael Leigh Cook,Tim Robbins,Claire Forlani,Richard Roundtree",http://www.antitrustthemovie.com/,Peter Howitt,A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,"Action,Crime,Drama",21961127.59,PG-13,108 min,6.1,29672.0
tt0242445,0.510452,50000000,Exit Wounds,"Steven Seagal,DMX,Isaiah Washington,Anthony Anderson,Bill Duke",http://www.exitwounds.net/,Andrzej Bartkowiak,"Maverick cop Orin Boyd always brings down the domestic terrorists he tracks, but he ruffles feathers with his unorthodox techniques -- and soon finds himself reassigned to the toughest district in Detroit. When he discovers a group of detectives secretly operating a drug ring, Boyd joins forces with an unlikely ally -- gangster Latrell Walker -- to bring down the rotten cops.","Action,Crime,Thriller",98468064.50,R,101 min,5.6,35935.0
tt0228333,0.451722,28000000,Ghosts of Mars,"Natasha Henstridge,Ice Cube,Jason Statham,Clea DuVall,Pam Grier",http://www.theofficialjohncarpenter.com/ghost-of-mars/,John Carpenter,Melanie Ballard (Natasha Henstridge) is a hard nosed police chief in the year 2025. She and a police snatch squad are sent to Mars to apprehend a dangerous criminal James Williams (Ice Cube). Mars has been occupied by humans for some time and they have set up mining facilities. The mining activities on Mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. It soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the 'invaders'.,"Action,Horror,Science Fiction",17254173.11,R,98 min,4.9,55717.0
tt0181739,0.439101,75000000,Osmosis Jones,"Chris Rock,Laurence Fishburne,David Hyde Pierce,Brandy Norwood,Bill Murray",http://www.osmosisjones.com/,Bobby Farrelly|Peter Farrelly,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.","Adventure,Animation,Action,Comedy,Family",16744434.32,PG,95 min,6.3,36917.0
tt0468569,8.46666799999999,185000000,The Dark Knight,"Christian Bale,Michael Caine,Heath Ledger,Aaron Eckhart,Gary Oldman",http://thedarkknight.warnerbros.com/dvdsite/,Christopher Nolan,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Drama,Action,Crime,Thriller",1014733032.48,PG-13,152 min,9.0,2675531.0
