movie_id,certificate,runtime,rating,votes
tt3799694,R,116 min,7.3,335218.0
tt0437086,PG-13,122 min,7.3,273749.0
tt0119654,PG-13,98 min,7.3,576229.0
tt1477834,PG-13,143 min,6.8,481532.0
tt6806448,PG-13,137 min,6.5,216997.0
tt0139654,R,122 min,7.7,443143.0
tt2975590,PG-13,151 min,6.4,705173.0
tt0102685,R,122 min,7.2,187272.0
tt5164214,PG-13,110 min,6.3,224375.0
tt0059800,PG,130 min,6.9,120852.0
tt2250912,PG-13,133 min,7.4,666223.0
tt3896198,PG-13,136 min,7.6,690770.0
tt2283362,PG-13,119 min,6.9,388565.0
tt0093773,R,107 min,7.8,428940.0
tt0087985,PG-13,114 min,6.3,59159.0
tt0080684,PG,124 min,8.7,1302151.0
tt0120591,PG-13,151 min,6.7,431479.0
tt2222042,PG-13,109 min,6.9,131262.0
tt1951265,PG-13,123 min,6.6,462485.0
tt3371366,PG-13,154 min,5.2,155328.0
tt7605074,TV-MA,125 min,5.9,32574.0
tt0087332,PG,105 min,7.8,420982.0
tt0369610,PG-13,124 min,6.9,649327.0
tt1259528,R,140 min,7.0,115242.0
tt0087182,PG-13,137 min,6.3,163993.0
tt0086190,PG,131 min,8.3,1062181.0
tt4630562,PG-13,136 min,6.6,236159.0
tt2395427,PG-13,141 min,7.3,872228.0
tt0800369,PG-13,115 min,7.0,857206.0
tt0265086,R,144 min,7.7,401720.0
tt0120201,R,129 min,7.3,300663.0
tt0830515,PG-13,106 min,6.6,453757.0
tt0120903,PG-13,104 min,7.3,621448.0
tt1074638,PG-13,143 min,7.8,703338.0
tt0120347,PG-13,119 min,6.5,197384.0
tt0100802,R,113 min,7.5,336224.0
tt2334879,PG-13,131 min,6.3,225586.0
tt1250777,R,117 min,7.6,569031.0
tt0183790,PG-13,132 min,6.9,190661.0
tt0317705,PG,115 min,8.0,747357.0
tt0086567,PG,114 min,7.1,102761.0
tt2381249,PG-13,131 min,7.4,378784.0
tt7713068,R,109 min,6.0,243835.0
tt0120735,R,107 min,8.2,587827.0
tt3498820,PG-13,147 min,7.8,797128.0
tt0322259,PG-13,107 min,5.9,278304.0
tt5700672,Not Rated,118 min,7.6,227586.0
tt0993840,R,148 min,5.7,175572.0
tt0363547,R,101 min,7.3,259372.0
tt0974015,PG-13,120 min,6.1,457649.0
tt1321511,R,104 min,5.8,77462.0
tt6450804,R,128 min,6.2,181371.0
tt0119190,PG,92 min,5.5,80211.0
tt1291584,PG-13,140 min,8.2,476938.0
tt0087538,PG,126 min,7.3,229753.0
tt0796366,PG-13,127 min,7.9,607007.0
tt1790809,PG-13,129 min,6.5,317985.0
tt6343314,PG-13,130 min,7.1,129361.0
tt0360486,R,121 min,7.0,352209.0
tt0102798,PG-13,143 min,6.9,197794.0
tt0096895,PG-13,126 min,7.5,382221.0
tt4154664,PG-13,123 min,6.8,567884.0
tt0213149,PG-13,183 min,6.2,337171.0
tt2302755,R,119 min,6.5,280439.0
tt0434409,R,132 min,8.2,1129454.0
tt0209163,PG-13,130 min,6.4,330552.0
tt0293429,R,110 min,6.0,177108.0
tt4172430,R,144 min,7.3,147124.0
tt0079501,R,88 min,6.8,210752.0
tt0088011,PG,106 min,6.9,96833.0
tt0343818,PG-13,115 min,7.1,547519.0
tt1596343,PG-13,130 min,7.3,385936.0
tt0099938,PG-13,111 min,6.2,153052.0
tt2527336,PG-13,152 min,6.9,638906.0
tt1637688,PG-13,109 min,6.7,417461.0
tt0121766,PG-13,140 min,7.6,799964.0
tt2397535,R,97 min,7.4,287386.0
tt0320691,R,121 min,7.0,274031.0
tt1197624,R,109 min,7.4,302444.0
tt0463985,PG-13,104 min,6.0,276811.0
tt1229238,PG-13,132 min,7.4,495999.0
tt1156398,R,88 min,7.6,585822.0
tt0172156,R,147 min,6.6,255209.0
tt0093894,R,101 min,6.6,156856.0
tt0055928,PG,110 min,7.2,170409.0
tt0892769,PG,98 min,8.1,748554.0
tt0409847,PG-13,119 min,6.0,224042.0
tt3766354,R,121 min,6.7,164422.0
tt0938283,PG,103 min,4.0,165846.0
tt1706620,R,126 min,7.1,366588.0
tt5034838,PG-13,113 min,6.3,213793.0
tt4779682,PG-13,113 min,5.6,174788.0
tt0111257,R,116 min,7.3,369691.0
tt1060277,PG-13,85 min,7.0,404292.0
tt3778644,PG-13,135 min,6.9,353457.0
tt0206634,R,109 min,7.9,505728.0
tt2379713,PG-13,148 min,6.8,446089.0
tt1502397,R,124 min,6.5,163933.0
tt0936501,PG-13,90 min,7.8,608834.0
tt1211837,PG-13,115 min,7.5,752009.0
tt1365519,PG-13,119 min,6.3,217394.0
tt1300854,PG-13,130 min,7.1,858149.0
tt1411250,R,119 min,6.4,169556.0
tt0258463,PG-13,119 min,7.9,552407.0
tt0463854,R,100 min,6.9,280540.0
tt0111282,PG-13,116 min,7.0,194450.0
tt0099422,PG,105 min,6.2,63089.0
tt0190332,PG-13,120 min,7.9,272211.0
tt0104691,R,112 min,7.7,174240.0
tt0090180,R,116 min,7.3,34919.0
tt1846589,R,121 min,6.6,65607.0
tt3385516,PG-13,144 min,6.9,440539.0
